financial_year,week_number,actual,target,updated_at,updated_by
2023,1,349000,,2026-08-19,bootstrap
2024,1,477762,,2026-08-19,bootstrap
2025,1,508218,,2026-08-19,bootstrap
2026,1,379185,460000,2026-08-19,bootstrap
2023,2,490000,,2026-08-19,bootstrap
2024,2,363547,,2026-08-19,bootstrap
2025,2,418565.949999999,,2026-08-19,bootstrap
2026,2,470611,460000,2026-08-19,bootstrap
2023,3,412000,,2026-08-19,bootstrap
2024,3,338057,,2026-08-19,bootstrap
2025,3,401000,,2026-08-19,bootstrap
2026,3,414504,470000,2026-08-19,bootstrap
2023,4,343000,,2026-08-19,bootstrap
2024,4,383171,,2026-08-19,bootstrap
2025,4,502000,,2026-08-19,bootstrap
2026,4,467868,460000,2026-08-19,bootstrap
2023,5,358000,,2026-08-19,bootstrap
2024,5,485206,,2026-08-19,bootstrap
2025,5,416136,,2026-08-19,bootstrap
2026,5,457405,465000,2026-08-19,bootstrap
2023,6,374000,,2026-08-19,bootstrap
2024,6,457753,,2026-08-19,bootstrap
2025,6,407795,,2026-08-19,bootstrap
2026,6,533820,475000,2026-08-19,bootstrap
2023,7,342000,,2026-08-19,bootstrap
2024,7,363403,,2026-08-19,bootstrap
2025,7,498692,,2026-08-19,bootstrap
2026,7,421668,480000,2026-08-19,bootstrap
2023,8,417000,,2026-08-19,bootstrap
2024,8,437497,,2026-08-19,bootstrap
2025,8,494062,,2026-08-19,bootstrap
2026,8,433655,560000,2026-08-19,bootstrap
2023,9,335000,,2026-08-19,bootstrap
2024,9,487641,,2026-08-19,bootstrap
2025,9,471534.92,,2026-08-19,bootstrap
2026,9,399038,490000,2026-08-19,bootstrap
2023,10,255000,,2026-08-19,bootstrap
2024,10,203522,,2026-08-19,bootstrap
2025,10,222000,,2026-08-19,bootstrap
2026,10,202522,240000,2026-08-19,bootstrap
2023,11,203000,,2026-08-19,bootstrap
2024,11,221966,,2026-08-19,bootstrap
2025,11,249627,,2026-08-19,bootstrap
2026,11,249199,240000,2026-08-19,bootstrap
2023,12,313000,,2026-08-19,bootstrap
2024,12,273260,,2026-08-19,bootstrap
2025,12,414091,,2026-08-19,bootstrap
2026,12,369809,415000,2026-08-19,bootstrap
2023,13,341000,,2026-08-19,bootstrap
2024,13,466439,,2026-08-19,bootstrap
2025,13,453726,,2026-08-19,bootstrap
2026,13,380313,425000,2026-08-19,bootstrap
2023,14,331000,,2026-08-19,bootstrap
2024,14,353039,,2026-08-19,bootstrap
2025,14,413901,,2026-08-19,bootstrap
2026,14,375846,430000,2026-08-19,bootstrap
2023,15,369000,,2026-08-19,bootstrap
2024,15,395895,,2026-08-19,bootstrap
2025,15,391734,,2026-08-19,bootstrap
2026,15,420930,430000,2026-08-19,bootstrap
2023,16,310000,,2026-08-19,bootstrap
2024,16,350614,,2026-08-19,bootstrap
2025,16,389571,,2026-08-19,bootstrap
2026,16,369977,430000,2026-08-19,bootstrap
2023,17,264000,,2026-08-19,bootstrap
2024,17,401151,,2026-08-19,bootstrap
2025,17,409869,,2026-08-19,bootstrap
2026,17,338650,430000,2026-08-19,bootstrap
2023,18,334000,,2026-08-19,bootstrap
2024,18,386767,,2026-08-19,bootstrap
2025,18,416480,,2026-08-19,bootstrap
2026,18,419940,430000,2026-08-19,bootstrap
2023,19,344000,,2026-08-19,bootstrap
2024,19,342447,,2026-08-19,bootstrap
2025,19,451116,,2026-08-19,bootstrap
2026,19,383275,440000,2026-08-19,bootstrap
2023,20,335000,,2026-08-19,bootstrap
2024,20,390338,,2026-08-19,bootstrap
2025,20,438000,,2026-08-19,bootstrap
2026,20,383196,440000,2026-08-19,bootstrap
2023,21,426000,,2026-08-19,bootstrap
2024,21,521448,,2026-08-19,bootstrap
2025,21,488000,,2026-08-19,bootstrap
2026,21,,440000,2026-08-19,bootstrap
2023,22,344000,,2026-08-19,bootstrap
2024,22,516538,,2026-08-19,bootstrap
2025,22,428319,,2026-08-19,bootstrap
2026,22,,500000,2026-08-19,bootstrap
2023,23,153000,,2026-08-19,bootstrap
2024,23,153078,,2026-08-19,bootstrap
2025,23,242799,,2026-08-19,bootstrap
2026,23,,430000,2026-08-19,bootstrap
2023,24,138000,,2026-08-19,bootstrap
2024,24,207056,,2026-08-19,bootstrap
2025,24,249097,,2026-08-19,bootstrap
2026,24,,250000,2026-08-19,bootstrap
2023,25,328000,,2026-08-19,bootstrap
2024,25,366331,,2026-08-19,bootstrap
2025,25,396377,,2026-08-19,bootstrap
2026,25,,,2026-08-19,bootstrap
2023,26,522000,,2026-08-19,bootstrap
2024,26,520052,,2026-08-19,bootstrap
2025,26,478267,,2026-08-19,bootstrap
2026,26,,,2026-08-19,bootstrap
2023,27,382000,,2026-08-19,bootstrap
2024,27,444727,,2026-08-19,bootstrap
2025,27,505509,,2026-08-19,bootstrap
2026,27,,,2026-08-19,bootstrap
2023,28,339000,,2026-08-19,bootstrap
2024,28,481852,,2026-08-19,bootstrap
2025,28,514338,,2026-08-19,bootstrap
2026,28,,,2026-08-19,bootstrap
2023,29,388000,,2026-08-19,bootstrap
2024,29,510983,,2026-08-19,bootstrap
2025,29,521275,,2026-08-19,bootstrap
2026,29,,,2026-08-19,bootstrap
2023,30,418000,,2026-08-19,bootstrap
2024,30,562002,,2026-08-19,bootstrap
2025,30,598690,,2026-08-19,bootstrap
2026,30,,,2026-08-19,bootstrap
2023,31,340000,,2026-08-19,bootstrap
2024,31,543683,,2026-08-19,bootstrap
2025,31,587195,,2026-08-19,bootstrap
2026,31,,,2026-08-19,bootstrap
2023,32,412000,,2026-08-19,bootstrap
2024,32,554399,,2026-08-19,bootstrap
2025,32,566496,,2026-08-19,bootstrap
2026,32,,,2026-08-19,bootstrap
2023,33,401000,,2026-08-19,bootstrap
2024,33,484893,,2026-08-19,bootstrap
2025,33,530585.03,,2026-08-19,bootstrap
2026,33,,,2026-08-19,bootstrap
2023,34,627000,,2026-08-19,bootstrap
2024,34,663252,,2026-08-19,bootstrap
2025,34,852000,,2026-08-19,bootstrap
2026,34,,,2026-08-19,bootstrap
2023,35,396000,,2026-08-19,bootstrap
2024,35,524669,,2026-08-19,bootstrap
2025,35,481282,,2026-08-19,bootstrap
2026,35,,,2026-08-19,bootstrap
2023,36,168000,,2026-08-19,bootstrap
2024,36,245468,,2026-08-19,bootstrap
2025,36,240671,,2026-08-19,bootstrap
2026,36,,,2026-08-19,bootstrap
2023,37,127000,,2026-08-19,bootstrap
2024,37,150429,,2026-08-19,bootstrap
2025,37,179588,,2026-08-19,bootstrap
2026,37,,,2026-08-19,bootstrap
2023,38,134000,,2026-08-19,bootstrap
2024,38,187323,,2026-08-19,bootstrap
2025,38,107834,,2026-08-19,bootstrap
2026,38,,,2026-08-19,bootstrap
2023,39,702000,,2026-08-19,bootstrap
2024,39,552785,,2026-08-19,bootstrap
2025,39,553997,,2026-08-19,bootstrap
2026,39,,,2026-08-19,bootstrap
2023,40,500000,,2026-08-19,bootstrap
2024,40,659414,,2026-08-19,bootstrap
2025,40,642636,,2026-08-19,bootstrap
2026,40,,,2026-08-19,bootstrap
2023,41,507000,,2026-08-19,bootstrap
2024,41,586847,,2026-08-19,bootstrap
2025,41,615651,,2026-08-19,bootstrap
2026,41,,,2026-08-19,bootstrap
2023,42,475000,,2026-08-19,bootstrap
2024,42,479851,,2026-08-19,bootstrap
2025,42,442820,,2026-08-19,bootstrap
2026,42,,,2026-08-19,bootstrap
2023,43,350000,,2026-08-19,bootstrap
2024,43,529465,,2026-08-19,bootstrap
2025,43,425535,,2026-08-19,bootstrap
2026,43,,,2026-08-19,bootstrap
2023,44,407000,,2026-08-19,bootstrap
2024,44,426881,,2026-08-19,bootstrap
2025,44,497073,,2026-08-19,bootstrap
2026,44,,,2026-08-19,bootstrap
2023,45,347000,,2026-08-19,bootstrap
2024,45,451675,,2026-08-19,bootstrap
2025,45,371288,,2026-08-19,bootstrap
2026,45,,,2026-08-19,bootstrap
2023,46,333000,,2026-08-19,bootstrap
2024,46,500024,,2026-08-19,bootstrap
2025,46,302566,,2026-08-19,bootstrap
2026,46,,,2026-08-19,bootstrap
2023,47,597000,,2026-08-19,bootstrap
2024,47,691175,,2026-08-19,bootstrap
2025,47,388023,,2026-08-19,bootstrap
2026,47,,,2026-08-19,bootstrap
2023,48,261000,,2026-08-19,bootstrap
2024,48,431967,,2026-08-19,bootstrap
2025,48,662497,,2026-08-19,bootstrap
2026,48,,,2026-08-19,bootstrap
2023,49,144000,,2026-08-19,bootstrap
2024,49,177484,,2026-08-19,bootstrap
2025,49,301157,,2026-08-19,bootstrap
2026,49,,,2026-08-19,bootstrap
2023,50,156000,,2026-08-19,bootstrap
2024,50,267015,,2026-08-19,bootstrap
2025,50,175439,,2026-08-19,bootstrap
