financial_year,week_number,channel_slot,cost,updated_at,updated_by
2022,1,A,28096.16616,2026-08-19,bootstrap
2023,1,A,25018.270000000008,2026-08-19,bootstrap
2024,1,A,21540,2026-08-19,bootstrap
2025,1,A,19401.48000000001,2026-08-19,bootstrap
2022,2,A,24506.895248000008,2026-08-19,bootstrap
2023,2,A,24440.870000000003,2026-08-19,bootstrap
2024,2,A,16641.2,2026-08-19,bootstrap
2025,2,A,21828.00999999998,2026-08-19,bootstrap
2022,3,A,37596.70886799994,2026-08-19,bootstrap
2023,3,A,24566.690000000013,2026-08-19,bootstrap
2024,3,A,19047.37000000001,2026-08-19,bootstrap
2025,3,A,16257.169999999995,2026-08-19,bootstrap
2022,4,A,49247.314964999976,2026-08-19,bootstrap
2023,4,A,16298.91999999999,2026-08-19,bootstrap
2024,4,A,21450.600000000006,2026-08-19,bootstrap
2025,4,A,18200,2026-08-19,bootstrap
2022,5,A,23595.505182999994,2026-08-19,bootstrap
2023,5,A,18401.530000000002,2026-08-19,bootstrap
2024,5,A,18451.250000000022,2026-08-19,bootstrap
2025,5,A,21488,2026-08-19,bootstrap
2022,6,A,19388.229556,2026-08-19,bootstrap
2023,6,A,18023.049999999985,2026-08-19,bootstrap
2024,6,A,26918.68000000001,2026-08-19,bootstrap
2025,6,A,18864,2026-08-19,bootstrap
2022,7,A,14932.026694000006,2026-08-19,bootstrap
2023,7,A,18279.53,2026-08-19,bootstrap
2024,7,A,20645.319999999996,2026-08-19,bootstrap
2022,8,A,17059.622465999997,2026-08-19,bootstrap
2023,8,A,16925.280000000002,2026-08-19,bootstrap
2024,8,A,13193.179999999998,2026-08-19,bootstrap
2022,9,A,11840.135886999999,2026-08-19,bootstrap
2023,9,A,16164.460000000008,2026-08-19,bootstrap
2024,9,A,9093.900000000005,2026-08-19,bootstrap
2022,10,A,8862.432373999993,2026-08-19,bootstrap
2023,10,A,14968.350000000002,2026-08-19,bootstrap
2024,10,A,9032.320000000005,2026-08-19,bootstrap
2022,11,A,12678.354252000016,2026-08-19,bootstrap
2023,11,A,12729.74000000001,2026-08-19,bootstrap
2024,11,A,14338.830000000007,2026-08-19,bootstrap
2022,12,A,13239.904024999996,2026-08-19,bootstrap
2023,12,A,15156.720000000014,2026-08-19,bootstrap
2024,12,A,22129.30000000001,2026-08-19,bootstrap
2022,13,A,16551.47120099999,2026-08-19,bootstrap
2023,13,A,16214.139999999998,2026-08-19,bootstrap
2024,13,A,19715.200000000008,2026-08-19,bootstrap
2022,14,A,16665.36589900001,2026-08-19,bootstrap
2023,14,A,12669.290000000003,2026-08-19,bootstrap
2024,14,A,19895.78000000001,2026-08-19,bootstrap
2022,15,A,14610.602842000006,2026-08-19,bootstrap
2023,15,A,11901.339999999995,2026-08-19,bootstrap
2024,15,A,17366.160000000007,2026-08-19,bootstrap
2022,16,A,16723.985623000004,2026-08-19,bootstrap
2023,16,A,10909.85000000001,2026-08-19,bootstrap
2024,16,A,14670.91000000001,2026-08-19,bootstrap
2022,17,A,13564.427823999993,2026-08-19,bootstrap
2023,17,A,12103.840000000002,2026-08-19,bootstrap
2024,17,A,15285.650000000005,2026-08-19,bootstrap
2022,18,A,11536.686075000001,2026-08-19,bootstrap
2023,18,A,18260.539999999994,2026-08-19,bootstrap
2024,18,A,13240.810000000005,2026-08-19,bootstrap
2022,19,A,10443.326764000001,2026-08-19,bootstrap
2023,19,A,14279.62999999999,2026-08-19,bootstrap
2024,19,A,12712.550000000003,2026-08-19,bootstrap
2022,20,A,12998.49333100001,2026-08-19,bootstrap
2023,20,A,15046.299999999996,2026-08-19,bootstrap
2024,20,A,22854.39000000002,2026-08-19,bootstrap
2022,21,A,19597.326111000002,2026-08-19,bootstrap
2023,21,A,13371.209999999992,2026-08-19,bootstrap
2024,21,A,12998.660000000002,2026-08-19,bootstrap
2022,22,A,13755.139319,2026-08-19,bootstrap
2023,22,A,10081.94,2026-08-19,bootstrap
2024,22,A,9467.35,2026-08-19,bootstrap
2022,23,A,11477.296479000002,2026-08-19,bootstrap
2023,23,A,10895.259999999986,2026-08-19,bootstrap
2024,23,A,8454.819999999998,2026-08-19,bootstrap
2022,24,A,10421.735476999998,2026-08-19,bootstrap
2023,24,A,22378.090000000004,2026-08-19,bootstrap
2024,24,A,13894.779999999988,2026-08-19,bootstrap
2022,25,A,13058.131034,2026-08-19,bootstrap
2023,25,A,27101.93999999999,2026-08-19,bootstrap
2024,25,A,25149.959999999995,2026-08-19,bootstrap
2022,26,A,18288.227775999996,2026-08-19,bootstrap
2023,26,A,12184.730000000001,2026-08-19,bootstrap
2024,26,A,24367.419999999995,2026-08-19,bootstrap
2022,27,A,15177.94330099998,2026-08-19,bootstrap
2023,27,A,11484.829999999996,2026-08-19,bootstrap
2024,27,A,24752.97000000001,2026-08-19,bootstrap
2022,28,A,13954.443418000003,2026-08-19,bootstrap
2023,28,A,18961.699999999997,2026-08-19,bootstrap
2024,28,A,23159.87000000001,2026-08-19,bootstrap
2022,29,A,11752.86,2026-08-19,bootstrap
2023,29,A,16562.140000000003,2026-08-19,bootstrap
2024,29,A,20524.06000000001,2026-08-19,bootstrap
2022,30,A,18322.69999999999,2026-08-19,bootstrap
2023,30,A,21445.06000000001,2026-08-19,bootstrap
2024,30,A,23049.619999999974,2026-08-19,bootstrap
2022,31,A,22782.090000000004,2026-08-19,bootstrap
2023,31,A,20573.340000000007,2026-08-19,bootstrap
2024,31,A,26546.080000000016,2026-08-19,bootstrap
2022,32,A,21443.97999999999,2026-08-19,bootstrap
2023,32,A,10352.48,2026-08-19,bootstrap
2024,32,A,25596.429999999997,2026-08-19,bootstrap
2022,33,A,20181.559999999987,2026-08-19,bootstrap
2023,33,A,26512.85000000002,2026-08-19,bootstrap
2024,33,A,33105.33999999998,2026-08-19,bootstrap
2022,34,A,21844.630000000005,2026-08-19,bootstrap
2023,34,A,9784.53000000001,2026-08-19,bootstrap
2024,34,A,24512.220000000005,2026-08-19,bootstrap
2022,35,A,17574.29000000001,2026-08-19,bootstrap
2023,35,A,7130.420000000004,2026-08-19,bootstrap
2024,35,A,9892.730000000007,2026-08-19,bootstrap
2022,36,A,9747.440000000006,2026-08-19,bootstrap
2023,36,A,14829.360000000006,2026-08-19,bootstrap
2024,36,A,5870.790000000001,2026-08-19,bootstrap
2022,37,A,7332.3200000000015,2026-08-19,bootstrap
2023,37,A,18900.58000000001,2026-08-19,bootstrap
2024,37,A,9636.360000000002,2026-08-19,bootstrap
2022,38,A,9161.280000000004,2026-08-19,bootstrap
2023,38,A,34423.429999999986,2026-08-19,bootstrap
2024,38,A,16575.910000000025,2026-08-19,bootstrap
2022,39,A,37770.67,2026-08-19,bootstrap
2023,39,A,27046.83999999999,2026-08-19,bootstrap
2024,39,A,20660.79,2026-08-19,bootstrap
2022,40,A,29554.709999999992,2026-08-19,bootstrap
2023,40,A,28163.74999999999,2026-08-19,bootstrap
2024,40,A,16277.849999999982,2026-08-19,bootstrap
2022,41,A,25442.520000000004,2026-08-19,bootstrap
2023,41,A,29411.609999999993,2026-08-19,bootstrap
2024,41,A,19084.499999999996,2026-08-19,bootstrap
2022,42,A,18659.109999999993,2026-08-19,bootstrap
2023,42,A,18041.259999999995,2026-08-19,bootstrap
2024,42,A,19635.1,2026-08-19,bootstrap
2022,43,A,20510.270000000004,2026-08-19,bootstrap
2023,43,A,13604.440000000013,2026-08-19,bootstrap
2024,43,A,15466.019999999997,2026-08-19,bootstrap
2022,44,A,20294.320000000003,2026-08-19,bootstrap
2023,44,A,16528.579999999998,2026-08-19,bootstrap
2024,44,A,15737.74999999999,2026-08-19,bootstrap
2022,45,A,20228.64000000001,2026-08-19,bootstrap
2023,45,A,20478.340000000015,2026-08-19,bootstrap
2024,45,A,19832.12000000001,2026-08-19,bootstrap
2022,46,A,22517.51000000001,2026-08-19,bootstrap
2023,46,A,32859.65000000001,2026-08-19,bootstrap
2024,46,A,23032.719999999994,2026-08-19,bootstrap
2022,47,A,20577.520000000004,2026-08-19,bootstrap
2023,47,A,8838.410000000003,2026-08-19,bootstrap
2024,47,A,5183.480000000005,2026-08-19,bootstrap
2022,48,A,13621.370000000008,2026-08-19,bootstrap
2023,48,A,6589.51,2026-08-19,bootstrap
2024,48,A,5338.820000000006,2026-08-19,bootstrap
2022,49,A,10277.64999999999,2026-08-19,bootstrap
2023,49,A,8696.320000000003,2026-08-19,bootstrap
2024,49,A,8284.229999999998,2026-08-19,bootstrap
2022,50,A,11065.57000000001,2026-08-19,bootstrap
2023,50,A,11186.000000000011,2026-08-19,bootstrap
2024,50,A,11154.91,2026-08-19,bootstrap
2022,51,A,18582.209999999992,2026-08-19,bootstrap
2023,51,A,23951.960000000017,2026-08-19,bootstrap
2024,51,A,14711.44999999999,2026-08-19,bootstrap
2022,1,B,12431.330000000005,2026-08-19,bootstrap
2023,1,B,13325.370000000006,2026-08-19,bootstrap
2024,1,B,9516.560000000005,2026-08-19,bootstrap
2025,1,B,14896.19,2026-08-19,bootstrap
2022,2,B,8412.859999999997,2026-08-19,bootstrap
2023,2,B,14697.27,2026-08-19,bootstrap
2024,2,B,7032.670000000004,2026-08-19,bootstrap
2025,2,B,15439.950000000006,2026-08-19,bootstrap
2022,3,B,10047.170000000011,2026-08-19,bootstrap
2023,3,B,14882.349999999997,2026-08-19,bootstrap
2024,3,B,8264.109999999993,2026-08-19,bootstrap
2025,3,B,10036.15000000001,2026-08-19,bootstrap
2022,4,B,14490.530000000002,2026-08-19,bootstrap
2023,4,B,11734.260000000004,2026-08-19,bootstrap
2024,4,B,2532.519999999999,2026-08-19,bootstrap
2025,4,B,12200,2026-08-19,bootstrap
2022,5,B,14670.140000000016,2026-08-19,bootstrap
2023,5,B,11234.109999999999,2026-08-19,bootstrap
2024,5,B,10915.889999999996,2026-08-19,bootstrap
2025,5,B,13429,2026-08-19,bootstrap
