date,channel,sessions,revenue,transactions,bounce_rate,avg_session_seconds,financial_year,week_number
2023-04-03,Affiliates,257,1272,4,0.3074,93.607,2023,1
2023-04-03,Cross-network,646,59,1,0.3096,1310.8483,2023,1
2023-04-03,Direct,2873,6503.9,13,0.363,76.9774,2023,1
2023-04-03,Display,108,656,2,0.2593,78.3611,2023,1
2023-04-03,Email,142,0,0,0.4014,71.0634,2023,1
2023-04-03,Organic Search,4819,18825.55,33,0.2754,98.2496,2023,1
2023-04-03,Organic Shopping,52,0,0,0.2308,75.4808,2023,1
2023-04-03,Organic Social,680,0,0,0.1985,60.0176,2023,1
2023-04-03,Organic Video,0,0,0,0.0,0,2023,1
2023-04-03,Paid Search,2242,6434.85,21,0.1338,159.3916,2023,1
2023-04-03,Paid Shopping,2391,4964.9,10,0.3329,57.0284,2023,1
2023-04-03,Paid Social,637,0,0,0.1978,79.0816,2023,1
2023-04-03,Referral,397,403.95,2,0.2897,125.0781,2023,1
2023-04-03,SMS,13,0,0,0.3846,39,2023,1
2023-04-03,Unassigned,46,0,0,0.6739,38.913,2023,1
2023-04-04,Affiliates,199,1647,3,0.2563,105.5276,2023,1
2023-04-04,Cross-network,801,1598,2,0.2572,78.2684,2023,1
2023-04-04,Direct,2867,8600.1164,13,0.4224,70.9313,2023,1
2023-04-04,Display,112,0,0,0.3304,83.3036,2023,1
2023-04-04,Email,139,4508.65,4,0.3813,100.3597,2023,1
2023-04-04,Organic Search,4257,13347.85,17,0.2579,93.3016,2023,1
2023-04-04,Organic Shopping,34,0,0,0.4412,55.5294,2023,1
2023-04-04,Organic Social,662,0,1,0.1541,62.9411,2023,1
2023-04-04,Organic Video,1,0,0,1,0,2023,1
2023-04-04,Paid Search,2063,6641.6677,12,0.1391,167.6122,2023,1
2023-04-04,Paid Shopping,2157,3333.95,6,0.3046,67.4599,2023,1
2023-04-04,Paid Social,575,0,0,0.1826,93.4157,2023,1
2023-04-04,Referral,434,945,2,0.2949,146.1014,2023,1
2023-04-04,SMS,97,0,0,0.3505,56.1959,2023,1
2023-04-04,Unassigned,42,1587,1,0.4524,50.3571,2023,1
2023-04-05,Affiliates,198,1025,3,0.1919,70.2626,2023,1
2023-04-05,Cross-network,767,2334,2,0.2973,81.5098,2023,1
2023-04-05,Direct,2820,7139.9,10,0.3599,92.222,2023,1
2023-04-05,Display,140,0,0,0.3357,54.4,2023,1
2023-04-05,Email,100,0,0,0.36,94.14,2023,1
2023-04-05,Organic Search,4641,7462.6347,16,0.2648,99.4952,2023,1
2023-04-05,Organic Shopping,42,0,0,0.2619,49.619,2023,1
2023-04-05,Organic Social,652,0,0,0.1549,69.2347,2023,1
2023-04-05,Organic Video,0,0,0,0.0,0,2023,1
2023-04-05,Paid Search,2495,18885.85,20,0.1226,165.2377,2023,1
2023-04-05,Paid Shopping,2084,5771.819,10,0.3177,60.3229,2023,1
2023-04-05,Paid Social,609,628,1,0.2085,91.6289,2023,1
2023-04-05,Referral,394,0,0,0.2665,123.9416,2023,1
2023-04-05,SMS,40,0,0,0.275,75.7,2023,1
2023-04-05,Unassigned,53,0,0,0.6981,75.7547,2023,1
2023-04-06,Affiliates,178,3075.6,2,0.2416,89.7978,2023,1
2023-04-06,Cross-network,903,393.95,2,0.3333,77.8007,2023,1
2023-04-06,Direct,2714,14790.85,13,0.3615,90.8349,2023,1
2023-04-06,Display,124,0,0,0.3145,64.4355,2023,1
2023-04-06,Email,1164,425,1,0.104,105.829,2023,1
2023-04-06,Organic Search,4606,13843.8,19,0.2686,91.866,2023,1
2023-04-06,Organic Shopping,40,0,0,0.125,89.8,2023,1
2023-04-06,Organic Social,1084,267,1,0.3044,48.1411,2023,1
2023-04-06,Organic Video,0,0,0,0.0,0,2023,1
2023-04-06,Paid Search,2452,6134.25,16,0.1354,148.8748,2023,1
2023-04-06,Paid Shopping,1995,3716.95,7,0.3063,65.6226,2023,1
2023-04-06,Paid Social,691,0,0,0.2127,81.9855,2023,1
2023-04-06,Referral,504,0,0,0.254,108.5794,2023,1
2023-04-06,SMS,11,0,0,0.2727,137.1818,2023,1
2023-04-06,Unassigned,58,0,0,0.6379,99.8276,2023,1
2023-04-07,Affiliates,231,3309,2,0.2468,89.4329,2023,1
2023-04-07,Cross-network,1029,6077,4,0.3265,74.6016,2023,1
2023-04-07,Direct,3315,5752.1046,15,0.3457,93.5095,2023,1
2023-04-07,Display,95,0,0,0.3053,74.8211,2023,1
2023-04-07,Email,1491,3874.94,5,0.2267,94.8015,2023,1
2023-04-07,Organic Search,5729,19909.0352,32,0.2466,98.5903,2023,1
2023-04-07,Organic Shopping,41,853,1,0.2195,83.2927,2023,1
2023-04-07,Organic Social,1064,0,0,0.1814,68.5038,2023,1
2023-04-07,Organic Video,0,0,0,0.0,0,2023,1
2023-04-07,Paid Search,2771,22512.1864,34,0.1314,159.2382,2023,1
2023-04-07,Paid Shopping,2231,4860.9,7,0.2792,68.9924,2023,1
2023-04-07,Paid Social,709,287,1,0.2341,82.2581,2023,1
2023-04-07,Referral,514,1200.95,2,0.2743,111.2724,2023,1
2023-04-07,SMS,25,0,0,0.44,154.08,2023,1
2023-04-07,Unassigned,86,0,0,0.4884,52.1163,2023,1
2023-04-08,Affiliates,524,3514,2,0.2118,97.3989,2023,1
2023-04-08,Cross-network,1136,3779,7,0.3319,76.3336,2023,1
2023-04-08,Direct,3187,18871.9,18,0.348,92.188,2023,1
2023-04-08,Display,121,0,0,0.3802,54.1157,2023,1
2023-04-08,Email,329,250.95,2,0.3617,82.3647,2023,1
2023-04-08,Organic Search,5354,12571.6777,20,0.2719,92.395,2023,1
2023-04-08,Organic Shopping,39,0,0,0.2821,80.359,2023,1
2023-04-08,Organic Social,756,0,1,0.1071,74.8519,2023,1
2023-04-08,Organic Video,0,0,0,0.0,0,2023,1
2023-04-08,Paid Search,2668,7438.9,9,0.1252,153.6357,2023,1
2023-04-08,Paid Shopping,2213,3810.95,7,0.2671,73.0633,2023,1
2023-04-08,Paid Social,726,250.95,1,0.2493,90.0468,2023,1
2023-04-08,Referral,451,0,0,0.2727,153.1419,2023,1
2023-04-08,SMS,11,0,0,0.5455,48.7273,2023,1
2023-04-08,Unassigned,80,0,0,0.5875,47.675,2023,1
2023-04-09,Affiliates,320,4192,5,0.2469,84.5938,2023,1
2023-04-09,Cross-network,1538,631.95,1,0.3589,61.0247,2023,1
2023-04-09,Direct,3361,10224.9723,15,0.3517,84.7941,2023,1
2023-04-09,Display,126,0,0,0.3333,91.2778,2023,1
2023-04-09,Email,2060,713.9,3,0.1374,108.4553,2023,1
2023-04-09,Organic Search,5336,10607.8198,26,0.2545,99.9829,2023,1
2023-04-09,Organic Shopping,45,907,1,0.2667,67.5556,2023,1
2023-04-09,Organic Social,862,0,1,0.1369,58.7761,2023,1
2023-04-09,Organic Video,1,0,0,1,0,2023,1
2023-04-09,Paid Search,2764,10642.6405,22,0.1053,168.9823,2023,1
2023-04-09,Paid Shopping,2469,8659.9253,13,0.2612,70.7161,2023,1
2023-04-09,Paid Social,839,0,0,0.2277,83.8415,2023,1
2023-04-09,Referral,419,0,0,0.2578,90.4391,2023,1
2023-04-09,SMS,9,0,0,0.4444,61.4444,2023,1
2023-04-09,Unassigned,49,0,0,0.6122,140.3061,2023,1
2023-04-10,Affiliates,361,14996.05,15,0.2271,124.5152,2023,2
2023-04-10,Cross-network,1409,6966.95,6,0.3009,87.4798,2023,2
2023-04-10,Direct,4389,13738.7,25,0.3397,95.5733,2023,2
2023-04-10,Display,123,278,1,0.3333,54.4228,2023,2
2023-04-10,Email,1239,8978.05,13,0.2599,105.1501,2023,2
2023-04-10,Organic Search,7889,26435,39,0.2462,104.711,2023,2
2023-04-10,Organic Shopping,66,0,0,0.2121,52.6061,2023,2
2023-04-10,Organic Social,1003,0,1,0.1585,69.5643,2023,2
2023-04-10,Organic Video,0,0,0,0.0,0,2023,2
2023-04-10,Paid Search,3886,17891.35,30,0.1117,171.0149,2023,2
2023-04-10,Paid Shopping,2786,9722.95,9,0.2922,73.3428,2023,2
2023-04-10,Paid Social,862,0,0,0.2251,87.116,2023,2
2023-04-10,Referral,616,1139,4,0.25,141.7727,2023,2
2023-04-10,SMS,13,0,0,0.5385,112.4615,2023,2
2023-04-10,Unassigned,191,385,1,0.4817,103.8796,2023,2
2023-04-11,Affiliates,227,1963,3,0.2863,128.1982,2023,2
2023-04-11,Cross-network,897,4002,4,0.2832,78.7179,2023,2
2023-04-11,Direct,3165,3560.75,10,0.375,82.3706,2023,2
2023-04-11,Display,138,0,0,0.4348,46.087,2023,2
2023-04-11,Email,354,2341.516,6,0.3644,86.2797,2023,2
2023-04-11,Organic Search,5419,6111.9,11,0.2567,90.1048,2023,2
2023-04-11,Organic Shopping,48,0,0,0.25,45.2917,2023,2
2023-04-11,Organic Social,851,0,0,0.1563,68.678,2023,2
2023-04-11,Organic Video,1,0,0,0.0,42,2023,2
2023-04-11,Paid Search,2456,14471.447,17,0.1401,155.0615,2023,2
2023-04-11,Paid Shopping,2460,2714.8,7,0.285,65.4415,2023,2
2023-04-11,Paid Social,807,0,0,0.2243,81.3705,2023,2
2023-04-11,Referral,446,678,1,0.2915,106.2601,2023,2
2023-04-11,SMS,2,0,0,1,0,2023,2
2023-04-11,Unassigned,61,0,0,0.4918,110.3443,2023,2
2023-04-12,Affiliates,216,4190,4,0.2407,93.8426,2023,2
2023-04-12,Cross-network,1039,2990,4,0.2695,81.6198,2023,2
2023-04-12,Direct,2920,16438.85,17,0.3565,84.9212,2023,2
2023-04-12,Display,166,0,0,0.3735,50.7048,2023,2
2023-04-12,Email,212,1671,2,0.3821,113.2075,2023,2
2023-04-12,Organic Search,4957,8732.85,19,0.2633,99.1814,2023,2
2023-04-12,Organic Shopping,48,0,0,0.1042,127.3542,2023,2
2023-04-12,Organic Social,883,0,0,0.1767,72.889,2023,2
2023-04-12,Organic Video,1,0,0,0.0,0,2023,2
2023-04-12,Paid Search,2463,11613.9812,16,0.1141,159.0459,2023,2
2023-04-12,Paid Shopping,2418,1789.85,7,0.294,72.1745,2023,2
2023-04-12,Paid Social,844,0,1,0.2121,80.5557,2023,2
2023-04-12,Referral,453,3980,2,0.2715,119.5497,2023,2
2023-04-12,SMS,0,0,0,0.0,0,2023,2
2023-04-12,Unassigned,73,0,0,0.5068,92.9863,2023,2
2023-04-13,Affiliates,177,5224,6,0.2316,84.6949,2023,2
2023-04-13,Cross-network,928,2675,3,0.2769,90.7575,2023,2
2023-04-13,Direct,2755,3950.3844,12,0.3561,88.4886,2023,2
2023-04-13,Display,148,0,0,0.3311,60.6554,2023,2
2023-04-13,Email,1474,628,2,0.1208,97.8446,2023,2
2023-04-13,Organic Search,4479,11465.6432,20,0.2568,93.6374,2023,2
2023-04-13,Organic Shopping,48,258,1,0.3125,48.1875,2023,2
2023-04-13,Organic Social,753,0,0,0.1846,70.3493,2023,2
2023-04-13,Organic Video,0,0,0,0.0,0,2023,2
2023-04-13,Paid Search,2227,4671.95,12,0.141,161.564,2023,2
2023-04-13,Paid Shopping,2348,4262.7101,8,0.2934,65.5545,2023,2
2023-04-13,Paid Social,782,677,1,0.188,79.3312,2023,2
2023-04-13,Referral,410,9208.2673,9,0.2561,121.3854,2023,2
2023-04-13,SMS,1,0,0,0.0,64,2023,2
2023-04-13,Unassigned,86,100.95,1,0.593,93.9419,2023,2
2023-04-14,Affiliates,276,2756,3,0.2572,76.2391,2023,2
2023-04-14,Cross-network,913,1736,4,0.2804,91.9869,2023,2
2023-04-14,Direct,3280,11682.8554,14,0.3265,91.6189,2023,2
2023-04-14,Display,123,0,0,0.252,69.9675,2023,2
2023-04-14,Email,835,179,1,0.2934,96.4299,2023,2
2023-04-14,Organic Search,4548,9867.8,23,0.2792,95.9389,2023,2
2023-04-14,Organic Shopping,30,0,0,0.3,116.8,2023,2
2023-04-14,Organic Social,673,438,1,0.1605,75.2853,2023,2
2023-04-14,Organic Video,6,0,0,0.0,670.5,2023,2
2023-04-14,Paid Search,2134,7565.85,11,0.1387,193.4316,2023,2
2023-04-14,Paid Shopping,2398,5175.9,7,0.2644,76.7239,2023,2
2023-04-14,Paid Social,770,345.3708,3,0.1883,82.9714,2023,2
2023-04-14,Referral,378,0,0,0.2593,131.7884,2023,2
2023-04-14,SMS,6,0,0,0.6667,42.6667,2023,2
2023-04-14,Unassigned,73,0,0,0.4658,57.6027,2023,2
2023-04-15,Affiliates,238,6802.3289,7,0.1807,109.2731,2023,2
2023-04-15,Cross-network,986,6561,5,0.283,88.4067,2023,2
2023-04-15,Direct,2971,13221.2457,20,0.347,95.3437,2023,2
2023-04-15,Display,141,0,0,0.305,79.078,2023,2
2023-04-15,Email,211,0,1,0.3791,88.5355,2023,2
2023-04-15,Organic Search,5190,14256.6,23,0.2451,96.2077,2023,2
2023-04-15,Organic Shopping,36,317.95,2,0.1944,76.7222,2023,2
2023-04-15,Organic Social,784,628,1,0.1301,68.8048,2023,2
2023-04-15,Organic Video,1,0,0,0.0,45,2023,2
2023-04-15,Paid Search,2533,11848.2371,19,0.1192,164.0442,2023,2
2023-04-15,Paid Shopping,2567,6028.0284,9,0.2618,63.0904,2023,2
2023-04-15,Paid Social,830,647.5375,2,0.2217,81.4783,2023,2
2023-04-15,Referral,399,0,0,0.2506,142.5915,2023,2
2023-04-15,SMS,4,0,0,0.5,19.5,2023,2
2023-04-15,Unassigned,151,599,1,0.3775,135.7417,2023,2
2023-04-16,Affiliates,359,3667.9,7,0.2089,108.1922,2023,2
2023-04-16,Cross-network,1219,4643,5,0.2888,78.5906,2023,2
2023-04-16,Direct,4619,21068.5404,29,0.312,90.2379,2023,2
2023-04-16,Display,130,0,0,0.3308,49.7769,2023,2
2023-04-16,Email,132,105,1,0.3485,93.9773,2023,2
2023-04-16,Organic Search,5150,13709,25,0.265,93.985,2023,2
2023-04-16,Organic Shopping,39,0,0,0.2051,88.5385,2023,2
2023-04-16,Organic Social,872,0,0,0.1239,70.6904,2023,2
2023-04-16,Organic Video,1,0,0,1,2,2023,2
2023-04-16,Paid Search,2514,22897.85,22,0.1249,158.5064,2023,2
2023-04-16,Paid Shopping,2688,910.85,6,0.2835,64.705,2023,2
2023-04-16,Paid Social,822,0,0,0.2202,77.8917,2023,2
2023-04-16,Referral,363,4727.95,4,0.2755,135.3113,2023,2
2023-04-16,SMS,1,0,0,0.0,391,2023,2
2023-04-16,Unassigned,90,0,1,0.4778,74.7,2023,2
2023-04-17,Affiliates,239,2442,6,0.2552,92.523,2023,3
2023-04-17,Cross-network,1126,6097,2,0.294,75.1519,2023,3
2023-04-17,Direct,2677,10400.85,18,0.3724,78.4277,2023,3
2023-04-17,Display,118,0,0,0.2881,75.0508,2023,3
2023-04-17,Email,147,0,0,0.2857,115.4286,2023,3
2023-04-17,Organic Search,4536,11165.85,16,0.2731,92.4951,2023,3
2023-04-17,Organic Shopping,52,1141,1,0.2115,61.3654,2023,3
2023-04-17,Organic Social,800,0,0,0.1563,65.725,2023,3
2023-04-17,Organic Video,6,0,0,0.1667,52.5,2023,3
