week_number,channel_slot,year,cost,revenue
1,A,2022,28096.16616,175183.29999999993
1,A,2023,25018.270000000008,146986.89999999997
1,A,2024,21540,144766.05
1,A,2025,19401.48000000001,229116.71
2,A,2022,24506.895248000008,182940.69999999995
2,A,2023,24440.870000000003,174990.44000000012
2,A,2024,16641.2,111200.5
2,A,2025,21828.00999999998,181013.08999999994
3,A,2022,37596.70886799994,181261.00000000015
3,A,2023,24566.690000000013,129651.85999999997
3,A,2024,19047.37000000001,110273.20999999999
3,A,2025,16257.169999999995,148283.50000000003
4,A,2022,49247.314964999976,250787.35000000012
4,A,2023,16298.91999999999,129040.64999999997
4,A,2024,21450.600000000006,146815.01000000004
4,A,2025,18200,163000
5,A,2022,23595.505182999994,169148.99999999994
5,A,2023,18401.530000000002,168180.76000000004
5,A,2024,18451.250000000022,206498.35000000006
5,A,2025,21488,207818
6,A,2022,19388.229556,130595.19999999998
6,A,2023,18023.049999999985,132097.67999999996
6,A,2024,26918.68000000001,160228.08
6,A,2025,18864,165998
7,A,2022,14932.026694000006,128485.59999999992
7,A,2023,18279.53,138045.4999999999
7,A,2024,20645.319999999996,194418.65999999997
8,A,2022,17059.622465999997,148874.04999999993
8,A,2023,16925.280000000002,91363.02
8,A,2024,13193.179999999998,136046.29
9,A,2022,11840.135886999999,51717.74999999997
9,A,2023,16164.460000000008,69995.42
9,A,2024,9093.900000000005,57226.430000000015
10,A,2022,8862.432373999993,66462.09999999998
10,A,2023,14968.350000000002,62554.68
10,A,2024,9032.320000000005,81469.59
11,A,2022,12678.354252000016,62692.449999999975
11,A,2023,12729.74000000001,83749.02999999996
11,A,2024,14338.830000000007,126782.30000000002
12,A,2022,13239.904024999996,98677.39999999995
12,A,2023,15156.720000000014,111844.95999999999
12,A,2024,22129.30000000001,171294.98
13,A,2022,16551.47120099999,106474.19999999995
13,A,2023,16214.139999999998,92577.61999999994
13,A,2024,19715.200000000008,133783.89000000007
14,A,2022,16665.36589900001,92481.79999999997
14,A,2023,12669.290000000003,96708.39000000001
14,A,2024,19895.78000000001,145791.62
15,A,2022,14610.602842000006,81655.09999999996
15,A,2023,11901.339999999995,78494.63999999998
15,A,2024,17366.160000000007,108186.39999999995
16,A,2022,16723.985623000004,53797.14999999999
16,A,2023,10909.85000000001,62742.039999999986
16,A,2024,14670.91000000001,98597.61000000003
17,A,2022,13564.427823999993,72995.24999999996
17,A,2023,12103.840000000002,103585.98999999998
17,A,2024,15285.650000000005,132079.95999999996
18,A,2022,11536.686075000001,52823.84999999998
18,A,2023,18260.539999999994,106974.97999999997
18,A,2024,13240.810000000005,85453.76000000001
19,A,2022,10443.326764000001,47242.649999999994
19,A,2023,14279.62999999999,79386.91
19,A,2024,12712.550000000003,121885.2
20,A,2022,12998.49333100001,91023.54999999996
20,A,2023,15046.299999999996,143209.50999999995
20,A,2024,22854.39000000002,264813.7200000001
21,A,2022,19597.326111000002,146788.79999999996
21,A,2023,13371.209999999992,79984.62
21,A,2024,12998.660000000002,128920.58000000002
22,A,2022,13755.139319,85967.3
22,A,2023,10081.94,50648.75
22,A,2024,9467.35,67333.14
23,A,2022,11477.296479000002,54004.29999999998
23,A,2023,10895.259999999986,41832.45999999999
23,A,2024,8454.819999999998,63386.19
24,A,2022,10421.735476999998,57966.79999999998
24,A,2023,22378.090000000004,96383.41999999997
24,A,2024,13894.779999999988,134180.77
25,A,2022,13058.131034,108123.94999999995
25,A,2023,27101.93999999999,141041.66999999995
25,A,2024,25149.959999999995,186801.03
26,A,2022,18288.227775999996,107661.94999999995
26,A,2023,12184.730000000001,100082.65999999999
